"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","184","login with SQL injection in password @negative","e2e","Fri Feb 27 09:10:17 UTC 2026","failed","Fri Feb 27 09:10:17 UTC 2026","[E2E - LOGIN] :: Employee Management @regression","tests/e2e/login/login.e2e.test.js","",""
"","25","login with empty data @negative","api","Fri Feb 27 09:09:56 UTC 2026","failed","Fri Feb 27 09:09:56 UTC 2026","[API - LOGIN] :: Identity Service @regression > Input Validation - Missing Fields","tests/api/login/login.api.test.js","",""
"","26","login with too long email @negative","api","Fri Feb 27 09:10:07 UTC 2026","failed","Fri Feb 27 09:10:07 UTC 2026","[API - LOGIN] :: Identity Service @regression > Input Format Tests","tests/api/login/login.api.test.js","",""
"","23","login with correct email but wrong password @negative","api","Fri Feb 27 09:10:10 UTC 2026","failed","Fri Feb 27 09:10:10 UTC 2026","[API - LOGIN] :: Identity Service @regression > Credential Validation","tests/api/login/login.api.test.js","",""
"","20","login without password field @negative","api","Fri Feb 27 09:09:59 UTC 2026","failed","Fri Feb 27 09:09:59 UTC 2026","[API - LOGIN] :: Identity Service @regression > Input Validation - Missing Fields","tests/api/login/login.api.test.js","",""
"","232","login with a password injection @negative","e2e","Fri Feb 27 09:10:02 UTC 2026","failed","Fri Feb 27 09:10:03 UTC 2026","[E2E - LOGIN] :: Employee Management @regression > Invalid Credentials @negative","tests/e2e/login/login.e2e.test.js","",""
"","22","login with invalid credentials @negative","api","Fri Feb 27 09:10:10 UTC 2026","failed","Fri Feb 27 09:10:10 UTC 2026","[API - LOGIN] :: Identity Service @regression > Credential Validation","tests/api/login/login.api.test.js","",""
"","242","login with a wrong password @negative","e2e","Fri Feb 27 09:10:02 UTC 2026","failed","Fri Feb 27 09:10:03 UTC 2026","[E2E - LOGIN] :: Employee Management @regression > Invalid Credentials @negative","tests/e2e/login/login.e2e.test.js","",""
"","22","login with empty object @negative","api","Fri Feb 27 09:09:59 UTC 2026","failed","Fri Feb 27 09:09:59 UTC 2026","[API - LOGIN] :: Identity Service @regression > Input Validation - Missing Fields","tests/api/login/login.api.test.js","",""
"","235","login with random invalid credentials @negative","e2e","Fri Feb 27 09:09:59 UTC 2026","failed","Fri Feb 27 09:09:59 UTC 2026","[E2E - LOGIN] :: Employee Management @regression > Invalid Credentials @negative","tests/e2e/login/login.e2e.test.js","",""
