"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","21","login with correct email but wrong password @negative","api","Thu Jan 29 09:09:23 UTC 2026","failed","Thu Jan 29 09:09:23 UTC 2026","[API - LOGIN] :: Identity Service @regression > Credential Validation","tests/api/login/login.api.test.js","",""
"","221","login with an invalid email @negative","e2e","Thu Jan 29 09:09:14 UTC 2026","failed","Thu Jan 29 09:09:14 UTC 2026","[E2E - LOGIN] :: Employee Management @regression > Input Validation Errors @negative","tests/e2e/login/login.e2e.test.js","",""
"","211","login with a password injection @negative","e2e","Thu Jan 29 09:09:07 UTC 2026","failed","Thu Jan 29 09:09:07 UTC 2026","[E2E - LOGIN] :: Employee Management @regression > Invalid Credentials @negative","tests/e2e/login/login.e2e.test.js","",""
"","22","login with blank data @negative","api","Thu Jan 29 09:09:07 UTC 2026","failed","Thu Jan 29 09:09:07 UTC 2026","[API - LOGIN] :: Identity Service @regression > Input Validation - Missing Fields","tests/api/login/login.api.test.js","",""
"","210","login with a long password @negative","e2e","Thu Jan 29 09:09:10 UTC 2026","failed","Thu Jan 29 09:09:11 UTC 2026","[E2E - LOGIN] :: Employee Management @regression > Invalid Credentials @negative","tests/e2e/login/login.e2e.test.js","",""
"","22","login without password field @negative","api","Thu Jan 29 09:09:12 UTC 2026","failed","Thu Jan 29 09:09:12 UTC 2026","[API - LOGIN] :: Identity Service @regression > Input Validation - Missing Fields","tests/api/login/login.api.test.js","",""
"","21","login with SQL injection in password @negative","api","Thu Jan 29 09:09:28 UTC 2026","failed","Thu Jan 29 09:09:28 UTC 2026","[API - LOGIN] :: Identity Service @regression > Security Tests","tests/api/login/login.api.test.js","",""
"","220","login with a special chars @negative","e2e","Thu Jan 29 09:09:10 UTC 2026","failed","Thu Jan 29 09:09:11 UTC 2026","[E2E - LOGIN] :: Employee Management @regression > Invalid Credentials @negative","tests/e2e/login/login.e2e.test.js","",""
"","192","login with an unicode @negative","e2e","Thu Jan 29 09:09:14 UTC 2026","failed","Thu Jan 29 09:09:14 UTC 2026","[E2E - LOGIN] :: Employee Management @regression > Input Validation Errors @negative","tests/e2e/login/login.e2e.test.js","",""
"","18","login with special characters in email @negative","api","Thu Jan 29 09:09:15 UTC 2026","failed","Thu Jan 29 09:09:15 UTC 2026","[API - LOGIN] :: Identity Service @regression > Input Format Tests","tests/api/login/login.api.test.js","",""
"","26","login with too long email @negative","api","Thu Jan 29 09:09:20 UTC 2026","failed","Thu Jan 29 09:09:20 UTC 2026","[API - LOGIN] :: Identity Service @regression > Input Format Tests","tests/api/login/login.api.test.js","",""
"","221","login with missing password @negative","e2e","Thu Jan 29 09:09:17 UTC 2026","failed","Thu Jan 29 09:09:17 UTC 2026","[E2E - LOGIN] :: Employee Management @regression > Password Validation Errors @negative","tests/e2e/login/login.e2e.test.js","",""
"","21","login successfully @success","api","Thu Jan 29 09:09:05 UTC 2026","failed","Thu Jan 29 09:09:05 UTC 2026","[API - LOGIN] :: Identity Service @regression > Authentication","tests/api/login/login.api.test.js","",""
"","211","login with an user with sql injection @negative","e2e","Thu Jan 29 09:09:17 UTC 2026","failed","Thu Jan 29 09:09:17 UTC 2026","[E2E - LOGIN] :: Employee Management @regression > Input Validation Errors @negative","tests/e2e/login/login.e2e.test.js","",""
"","214","login with a wrong password @negative","e2e","Thu Jan 29 09:09:07 UTC 2026","failed","Thu Jan 29 09:09:07 UTC 2026","[E2E - LOGIN] :: Employee Management @regression > Invalid Credentials @negative","tests/e2e/login/login.e2e.test.js","",""
"","202","login with random invalid credentials @negative","e2e","Thu Jan 29 09:09:03 UTC 2026","failed","Thu Jan 29 09:09:04 UTC 2026","[E2E - LOGIN] :: Employee Management @regression > Invalid Credentials @negative","tests/e2e/login/login.e2e.test.js","",""
"","19","login with invalid email format @negative","api","Thu Jan 29 09:09:07 UTC 2026","failed","Thu Jan 29 09:09:07 UTC 2026","[API - LOGIN] :: Identity Service @regression > Input Validation - Missing Fields","tests/api/login/login.api.test.js","",""
"","21","login with too short email @negative","api","Thu Jan 29 09:09:18 UTC 2026","failed","Thu Jan 29 09:09:18 UTC 2026","[API - LOGIN] :: Identity Service @regression > Input Format Tests","tests/api/login/login.api.test.js","",""
"","24","login with very long password @negative","api","Thu Jan 29 09:09:28 UTC 2026","failed","Thu Jan 29 09:09:28 UTC 2026","[API - LOGIN] :: Identity Service @regression > Security Tests","tests/api/login/login.api.test.js","",""
"","22","login with invalid credentials @negative","api","Thu Jan 29 09:09:23 UTC 2026","failed","Thu Jan 29 09:09:23 UTC 2026","[API - LOGIN] :: Identity Service @regression > Credential Validation","tests/api/login/login.api.test.js","",""
"","25","login with unregistered email @negative","api","Thu Jan 29 09:09:20 UTC 2026","failed","Thu Jan 29 09:09:20 UTC 2026","[API - LOGIN] :: Identity Service @regression > Input Format Tests","tests/api/login/login.api.test.js","",""
"","205","login successful @success","e2e","Thu Jan 29 09:09:03 UTC 2026","failed","Thu Jan 29 09:09:04 UTC 2026","[E2E - LOGIN] :: Employee Management @regression","tests/e2e/login/login.e2e.test.js","",""
"","22","login with null values @negative","api","Thu Jan 29 09:09:15 UTC 2026","failed","Thu Jan 29 09:09:15 UTC 2026","[API - LOGIN] :: Identity Service @regression > Input Validation - Missing Fields","tests/api/login/login.api.test.js","",""
"","164","login with SQL injection in password @negative","e2e","Thu Jan 29 09:09:20 UTC 2026","failed","Thu Jan 29 09:09:20 UTC 2026","[E2E - LOGIN] :: Employee Management @regression","tests/e2e/login/login.e2e.test.js","",""
"","21","login without email field @negative","api","Thu Jan 29 09:09:10 UTC 2026","failed","Thu Jan 29 09:09:10 UTC 2026","[API - LOGIN] :: Identity Service @regression > Input Validation - Missing Fields","tests/api/login/login.api.test.js","",""
"","27","login with custom invalid data @negative","api","Thu Jan 29 09:09:26 UTC 2026","failed","Thu Jan 29 09:09:26 UTC 2026","[API - LOGIN] :: Identity Service @regression > Credential Validation","tests/api/login/login.api.test.js","",""
"","20","get global auth token successfully @success","api","Thu Jan 29 09:09:05 UTC 2026","failed","Thu Jan 29 09:09:05 UTC 2026","[API - LOGIN] :: Identity Service @regression > Authentication","tests/api/login/login.api.test.js","",""
"","24","login with empty data @negative","api","Thu Jan 29 09:09:10 UTC 2026","failed","Thu Jan 29 09:09:10 UTC 2026","[API - LOGIN] :: Identity Service @regression > Input Validation - Missing Fields","tests/api/login/login.api.test.js","",""
"","28","login with SQL injection in email @negative","api","Thu Jan 29 09:09:26 UTC 2026","failed","Thu Jan 29 09:09:26 UTC 2026","[API - LOGIN] :: Identity Service @regression > Security Tests","tests/api/login/login.api.test.js","",""
"","20","login with empty object @negative","api","Thu Jan 29 09:09:12 UTC 2026","failed","Thu Jan 29 09:09:12 UTC 2026","[API - LOGIN] :: Identity Service @regression > Input Validation - Missing Fields","tests/api/login/login.api.test.js","",""
"","22","login with unicode characters in email @negative","api","Thu Jan 29 09:09:18 UTC 2026","failed","Thu Jan 29 09:09:18 UTC 2026","[API - LOGIN] :: Identity Service @regression > Input Format Tests","tests/api/login/login.api.test.js","",""
