"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","262","login with an user with sql injection @negative","e2e","Wed Mar 11 09:10:05 UTC 2026","failed","Wed Mar 11 09:10:05 UTC 2026","[E2E - LOGIN] :: Employee Management @regression > Input Validation Errors @negative","tests/e2e/login/login.e2e.test.js","",""
"","21","login with invalid credentials @negative","api","Wed Mar 11 09:10:08 UTC 2026","failed","Wed Mar 11 09:10:08 UTC 2026","[API - LOGIN] :: Identity Service @regression > Credential Validation","tests/api/login/login.api.test.js","",""
"","21","login with blank data @negative","api","Wed Mar 11 09:09:51 UTC 2026","failed","Wed Mar 11 09:09:51 UTC 2026","[API - LOGIN] :: Identity Service @regression > Input Validation - Missing Fields","tests/api/login/login.api.test.js","",""
"","20","login with too long email @negative","api","Wed Mar 11 09:10:05 UTC 2026","failed","Wed Mar 11 09:10:05 UTC 2026","[API - LOGIN] :: Identity Service @regression > Input Format Tests","tests/api/login/login.api.test.js","",""
"","274","login with a password injection @negative","e2e","Wed Mar 11 09:09:53 UTC 2026","failed","Wed Mar 11 09:09:54 UTC 2026","[E2E - LOGIN] :: Employee Management @regression > Invalid Credentials @negative","tests/e2e/login/login.e2e.test.js","",""
"","23","login with SQL injection in email @negative","api","Wed Mar 11 09:10:11 UTC 2026","failed","Wed Mar 11 09:10:11 UTC 2026","[API - LOGIN] :: Identity Service @regression > Security Tests","tests/api/login/login.api.test.js","",""
"","21","login without password field @negative","api","Wed Mar 11 09:09:56 UTC 2026","failed","Wed Mar 11 09:09:56 UTC 2026","[API - LOGIN] :: Identity Service @regression > Input Validation - Missing Fields","tests/api/login/login.api.test.js","",""
"","21","login with empty object @negative","api","Wed Mar 11 09:09:57 UTC 2026","failed","Wed Mar 11 09:09:57 UTC 2026","[API - LOGIN] :: Identity Service @regression > Input Validation - Missing Fields","tests/api/login/login.api.test.js","",""
"","23","login with too short email @negative","api","Wed Mar 11 09:10:02 UTC 2026","failed","Wed Mar 11 09:10:02 UTC 2026","[API - LOGIN] :: Identity Service @regression > Input Format Tests","tests/api/login/login.api.test.js","",""
"","22","login without email field @negative","api","Wed Mar 11 09:09:54 UTC 2026","failed","Wed Mar 11 09:09:54 UTC 2026","[API - LOGIN] :: Identity Service @regression > Input Validation - Missing Fields","tests/api/login/login.api.test.js","",""
