"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","22","login with unregistered email @negative","api","Mon Feb 16 09:32:02 UTC 2026","failed","Mon Feb 16 09:32:02 UTC 2026","[API - LOGIN] :: Identity Service @regression > Input Format Tests","tests/api/login/login.api.test.js","",""
"","266","login with an invalid email @negative","e2e","Mon Feb 16 09:31:52 UTC 2026","failed","Mon Feb 16 09:31:52 UTC 2026","[E2E - LOGIN] :: Employee Management @regression > Input Validation Errors @negative","tests/e2e/login/login.e2e.test.js","",""
"","25","login with too long email @negative","api","Mon Feb 16 09:32:02 UTC 2026","failed","Mon Feb 16 09:32:02 UTC 2026","[API - LOGIN] :: Identity Service @regression > Input Format Tests","tests/api/login/login.api.test.js","",""
"","191","login with SQL injection in password @negative","e2e","Mon Feb 16 09:31:59 UTC 2026","failed","Mon Feb 16 09:31:59 UTC 2026","[E2E - LOGIN] :: Employee Management @regression","tests/e2e/login/login.e2e.test.js","",""
"","20","login with correct email but wrong password @negative","api","Mon Feb 16 09:32:04 UTC 2026","failed","Mon Feb 16 09:32:05 UTC 2026","[API - LOGIN] :: Identity Service @regression > Credential Validation","tests/api/login/login.api.test.js","",""
"","20","login with null values @negative","api","Mon Feb 16 09:31:56 UTC 2026","failed","Mon Feb 16 09:31:56 UTC 2026","[API - LOGIN] :: Identity Service @regression > Input Validation - Missing Fields","tests/api/login/login.api.test.js","",""
"","21","login with SQL injection in password @negative","api","Mon Feb 16 09:32:10 UTC 2026","failed","Mon Feb 16 09:32:10 UTC 2026","[API - LOGIN] :: Identity Service @regression > Security Tests","tests/api/login/login.api.test.js","",""
"","18","login with empty data @negative","api","Mon Feb 16 09:31:51 UTC 2026","failed","Mon Feb 16 09:31:51 UTC 2026","[API - LOGIN] :: Identity Service @regression > Input Validation - Missing Fields","tests/api/login/login.api.test.js","",""
"","230","login successful @success","e2e","Mon Feb 16 09:31:40 UTC 2026","failed","Mon Feb 16 09:31:41 UTC 2026","[E2E - LOGIN] :: Employee Management @regression","tests/e2e/login/login.e2e.test.js","",""
"","257","login with an user with sql injection @negative","e2e","Mon Feb 16 09:31:56 UTC 2026","failed","Mon Feb 16 09:31:56 UTC 2026","[E2E - LOGIN] :: Employee Management @regression > Input Validation Errors @negative","tests/e2e/login/login.e2e.test.js","",""
